Id,Label,Modularity Class
231362577095,,142
262205860182,,15
275409729137163,,15
256011734423261,,15
524217404324951,,15
249126315123748,,15
208261122631057,,15
142127768902,,15
36357404764,,15
181519042003086,,15
152562981812,,15
148524135306144,,15
61846151076,,15
162065500489851,,15
125198227553672,,15
109172562434719,,15
121192464602315,,15
130281830315746,,15
117957401561859,,581
390481771078297,,581
153171402289,,581
202455313134101,,581
255607021138330,,581
123645399890,,142
8066814782,,581
40231806443,,581
221458947897199,,581
238526253413,,581
24939307470,,581
6233046685,,581
257622247486,,581
125832950763722,,581
114510248559480,,581
225839384095340,,581
61681934412,,7
168022191198,,7
168452476528119,,402
263866333658856,,402
209086782453466,,402
168594436611056,,402
191505570881608,,402
89898575873,,402
147826925263045,,402
167944259889573,,402
211208032236214,,402
138774936169592,,402
165982986746637,,402
111800542169340,,352
143508919026198,,402
390763674332947,,402
116402878384619,,402
196957423661700,,402
116233341773747,,402
112100748828888,,402
115143598558701,,402
116400535051612,,402
103217026405571,,402
115779661776417,,402
146915562039999,,402
130232890391311,,402
108010722559732,,402
193926289498,,402
189279417874811,,402
398730260213964,,402
138488609585481,,402
120704357946628,,402
158520484200398,,402
227113567385946,,402
87981956893,,402
150908264936171,,402
99338744209,,402
141250112611627,,402
159213888295,,402
248123954610,,402
265810585209,,402
121947784482024,,402
147443491945195,,402
114035881960803,,402
140862475927520,,8
112640291758,,8
89564773373,,8
342708315760611,,156
117329418285548,,156
56153124287,,140
161746656588,,140
221331424548787,,140
202456096504913,,140
224327625993,,140
166158193410340,,140
151848918224371,,545
180010622020795,,545
117631803048,,545
350783226794,,545
100857607832,,545
129186997127798,,545
96962431027,,545
53855227667,,545
76916550673,,11
99525717090,,11
112395438771784,,11
169742883047771,,11
77059309735,,11
107234075963729,,11
201525255596,,11
128006023944653,,402
166577306686331,,402
124432214292191,,402
11890079594,,402
113063165374299,,402
111979848819624,,620
108977642454417,,402
143698432312755,,402
105307012882667,,402
111650162185336,,402
127222950647502,,402
199935930025425,,402
152065518140304,,402
156865240998185,,402
198893331987,,402
8597149763,,402
544203558987337,,402
165646722256,,402
244360608846,,402
206958074708,,402
269563266177,,402
130958806932730,,402
113390545365079,,402
363773637036138,,402
114948265185821,,402
475920832493034,,402
155935291136432,,402
247260165378360,,402
184133190664,,425
127534513927234,,402
35856118060,,402
18256312839,,402
113175872026458,,402
111789988858447,,402
334782576621410,,402
603874522964328,,402
137493902953504,,402
152541714768421,,402
116214995073096,,402
129354280413168,,402
144463979082379,,402
122324244475694,,142
148257681896131,,402
71013937797,,402
115347628491822,,402
116636591775272,,608
117835161573545,,608
174630995901203,,608
126878976528,,608
111166398908223,,608
165400820834,,608
118608101511122,,608
120981067933688,,608
40147666824,,608
16240699522,,608
29920917791,,608
134887929899817,,608
368534850375,,608
427283507381331,,620
139648847711,,620
31218152021,,620
178855425504610,,620
58630793855,,620
48925505760,,620
132585977305,,620
139853326034027,,620
151917821519003,,620
198955906806004,,620
136731283006636,,620
130402073648863,,620
7186562978,,620
104902989553028,,620
263049578395,,425
248819618492981,,425
135969846479525,,425
122524123955,,425
123328841290,,425
185198281502833,,425
128733863857924,,425
20397963167,,353
254009434721413,,193
143635965677309,,193
484705674915105,,726
101971836549365,,620
130852696937048,,193
618820824795734,,193
114566359783,,193
167606103262320,,193
232566330148240,,193
157185784303966,,193
237616849652376,,193
122074914521351,,193
51266870937,,193
113453558729398,,193
192173854142989,,193
206118512768374,,193
248716715185703,,193
167595153312806,,193
378279035577278,,193
208011592546932,,193
341089449320832,,193
117701954909033,,193
214503661978977,,193
396999943705226,,193
340482149381652,,193
173037539494538,,193
254483204578295,,193
132322514625,,15
207481685950605,,193
181780131446,,193
293535434085912,,193
393421090682123,,352
567418129951191,,193
268155836563233,,193
374351475962436,,193
182186686472,,193
243790435667926,,193
77249738079,,193
122959907779737,,193
248329473193,,193
37905997261,,193
135075089895225,,193
161378717260248,,193
97014662551,,193
369019409792818,,193
143621755680031,,193
291025977575148,,193
120501968005705,,193
135065516540807,,193
110820012319194,,193
93365036957,,193
213937421987924,,193
137747116266280,,193
138807266196219,,193
184765324906393,,193
171429016264078,,193
125451464174665,,193
245333682153812,,193
51770917763,,193
20082123510,,193
109434289074866,,193
125347627535645,,193
100146875903,,193
236003469612,,193
116781851718176,,193
99588788338,,193
97129059742,,193
123081207749122,,611
217646468279731,,193
405007595545,,193
56824932317,,193
64888100309,,193
221946908067,,193
76354509988,,193
253602745288,,193
193142127393065,,193
172322196127078,,353
112101308854754,,193
156340321096250,,193
196530502740,,193
48801426901,,353
6030284861,,193
187514794595089,,193
71247679603,,193
361918470212,,193
171318826212092,,193
42378609104,,193
105633952833149,,193
159546127338,,193
138394643218,,193
194497587234462,,424
117159164969847,,424
1388964958019381,,424
160250920673132,,424
134274663251219,,424
149724411844240,,424
450610761661967,,424
315267995236878,,424
206701897332,,424
223033062083,,353
309288975205,,353
190163084351951,,353
237247796330293,,581
54544143124,,581
109575372416253,,581
24674801239,,581
56542275628,,581
193405257342315,,581
107892419239473,,581
339197682619,,581
127096427366514,,581
23232122640,,581
131867016880827,,581
106839612688255,,581
84357388741,,581
133097090062748,,581
157265360979847,,581
93435697182,,581
302438939781625,,581
119665791381594,,581
62686889648,,581
157027527754943,,581
164036221404,,581
132358283462966,,581
87870680838,,581
108102677077,,581
258722052998,,581
265551046890435,,581
187285334642089,,581
161684343850811,,581
114256252585,,581
128474967205732,,581
183223968371026,,581
303413809725694,,581
105996676098634,,581
154078961312240,,581
108616928964,,581
120082971340456,,581
229319540502571,,581
235516030642,,581
120779681306804,,581
62635654891,,581
142549509325,,352
46786743989,,581
80753646336,,581
121031474673750,,581
172529969439592,,581
95285541051,,581
104046259632828,,581
202004029829149,,581
157141518844,,581
65599049452,,581
6641739660,,581
78477869690,,581
105769852790299,,581
226371244770,,581
137853052924676,,581
57769969520,,581
271350375378,,581
312709835494,,565
80304341244,,565
247313855383114,,565
115906965120071,,565
441804805841289,,565
53428952222,,565
142491121994,,565
381956331872996,,565
410093822340072,,565
96451282113,,565
159012860789761,,565
106997449375232,,565
171380862910096,,565
264329216976971,,565
217948831569771,,565
349777650413,,565
171877166163985,,565
156120274427326,,565
400713270890,,565
187541431290528,,565
128970847113539,,565
101219398772,,565
166398493428976,,565
182023261832694,,565
126765200731018,,565
173030369407666,,565
122496254429160,,565
132475870105544,,565
79692838009,,565
217300321500,,565
189119017774665,,565
217402001614771,,565
109498462402873,,565
194346799916,,565
112438322114243,,565
114022335275572,,565
209354502428900,,565
162575043766281,,565
218235601526303,,565
208764010299,,565
213075429833,,565
137277372965541,,565
226968197392381,,565
146203225420104,,565
381132545314536,,565
271733402933197,,565
408332115924814,,565
484976531565028,,565
128673657162972,,565
101838303189380,,565
110401502316167,,565
108927182465247,,565
125623660843362,,565
407379069274648,,565
123369791016109,,565
154342656899,,565
101883829852756,,565
59720909552,,565
227373854907,,565
70501951394,,565
166409106711936,,565
120746227950022,,565
107585002604938,,565
112500442095891,,565
143930028953217,,565
108070975881240,,565
106400706058057,,565
195379520480487,,565
108762322481653,,565
280998421921556,,565
213367422143364,,565
482597318454754,,565
430518116989329,,565
296379453709696,,565
129131913815847,,565
143356425705579,,565
595747447102671,,565
505488586154957,,565
45551331645,,565
514837131889967,,565
191237604257621,,565
45235399471,,565
141477045913430,,565
336892296341099,,565
52165974892,,565
173826082649918,,565
106282392139,,565
64067037679,,565
108824565807462,,565
107526152610677,,565
122710944419429,,565
340089532174,,565
157106024322007,,29
134153259993883,,29
167171810001237,,666
103238469769986,,666
424009254277121,,666
492936404084694,,666
205162192225,,666
211944106613,,666
133239903381442,,666
318004089751,,666
104837696237056,,14
475948359105752,,592
107888715899352,,592
234241496633900,,62
138954159485114,,592
119562194780529,,592
197590803733834,,592
191333524217876,,592
105608216140468,,592
341442011598,,592
148873898481366,,592
169674169728584,,592
191815997516939,,592
139279112766096,,592
281595441893137,,592
140149172729196,,592
124471094239186,,592
226876870660623,,592
125524767487841,,592
214874498523691,,592
77752314460,,62
172143933034,,592
113588031233,,592
100489860011908,,592
128043630540775,,592
148596715211190,,592
249773571717031,,592
119697471437302,,592
67257379318,,592
178512895547089,,592
115334851876277,,592
149651361748104,,592
57747637498,,592
174158349305761,,592
179066125476823,,592
183859161651005,,592
153739314691494,,592
104073119630210,,592
86759288165,,592
201676223188193,,592
216078625103918,,592
376703202376793,,592
146699062020683,,592
147680828581715,,592
108177799214978,,592
111109659013877,,592
417959974905737,,592
119288511493208,,592
183383669243,,592
173036699378520,,592
35188825393,,592
70464625800,,592
127579133950110,,592
43417633847,,592
109576202393664,,592
162936921446,,592
184599721569999,,592
30429622292,,592
90852652642,,592
172645482782656,,592
112316952117581,,592
115031281884722,,592
137941986280907,,592
127246617299102,,592
157887480938290,,592
110098210931,,592
211247292262050,,592
332113686997,,592
276079000034,,592
218648654912399,,592
181083899118,,592
56977105295,,592
110272999063769,,592
118998122802,,592
63571709046,,592
175041395841678,,592
167555906615100,,592
132555566803209,,592
153072921463459,,592
146808592014147,,592
159393737469946,,592
192628847498841,,592
108929772491765,,592
339110617267,,592
190872700422,,592
247875612155,,592
131154176921648,,592
395443283855869,,592
111777048892671,,592
306353362726000,,592
176034992464756,,592
139967049434781,,592
30910012327,,592
62890207681,,353
116452228383777,,353
171678082875677,,353
156863340990421,,353
113931871956786,,353
128654952702,,353
31222888628,,353
22137505280,,353
48691937844,,353
